Rob Gronkowski,NE,2011.0,16.0,124.0,90.0,1327.0,17.0,285.9,17.9
Jimmy Graham,NO,2011.0,16.0,149.0,99.0,1310.0,11.0,244.5,15.3
Aaron Hernandez,NE,2011.0,14.0,113.0,79.0,910.0,7.0,175.0,12.5
Tony Gonzalez,ATL,2011.0,16.0,116.0,80.0,875.0,7.0,169.5,10.6
Jason Witten,DAL,2011.0,16.0,117.0,79.0,942.0,5.0,163.7,10.2
Jermichael Finley,GB,2011.0,16.0,92.0,55.0,767.0,8.0,152.2,9.5
Antonio Gates,SD,2011.0,13.0,88.0,64.0,778.0,7.0,151.8,11.7
Brandon Pettigrew,DET,2011.0,16.0,126.0,83.0,777.0,5.0,149.2,9.3
Vernon Davis,SF,2011.0,16.0,95.0,67.0,792.0,6.0,146.2,9.1
Brent Celek,PHI,2011.0,16.0,97.0,62.0,811.0,5.0,142.1,8.9
Dustin Keller,NYJ,2011.0,16.0,115.0,65.0,815.0,5.0,142.0,8.9
Fred Davis,WAS,2011.0,12.0,88.0,59.0,796.0,3.0,125.1,10.4
Kellen Winslow,TB,2011.0,16.0,121.0,75.0,763.0,2.0,123.8,7.7
Jermaine Gresham,CIN,2011.0,14.0,92.0,56.0,596.0,6.0,121.6,8.7
Jared Cook,TEN,2011.0,16.0,81.0,49.0,759.0,3.0,114.4,7.2
Owen Daniels,HOU,2011.0,15.0,84.0,54.0,677.0,3.0,112.7,7.5
Ed Dickson,BAL,2011.0,16.0,89.0,54.0,528.0,5.0,109.8,6.9
Greg Olsen,CAR,2011.0,16.0,89.0,45.0,540.0,5.0,104.5,6.5
Jake Ballard,NYG,2011.0,14.0,61.0,38.0,604.0,4.0,103.4,7.4
Heath Miller,PIT,2011.0,16.0,74.0,51.0,631.0,2.0,99.2,6.2
Scott Chandler,BUF,2011.0,14.0,46.0,38.0,389.0,6.0,91.9,6.6
Anthony Fasano,MIA,2011.0,15.0,54.0,32.0,451.0,5.0,91.1,6.1
Jeremy Shockey,CAR,2011.0,15.0,62.0,37.0,455.0,4.0,86.0,5.7
Joel Dreessen,HOU,2011.0,16.0,39.0,28.0,353.0,6.0,85.3,5.3
Tony Scheffler,DET,2011.0,15.0,42.0,26.0,347.0,6.0,84.2,5.6
Dennis Pitta,BAL,2011.0,16.0,56.0,40.0,405.0,3.0,78.5,4.9
Visanthe Shiancoe,MIN,2011.0,16.0,70.0,36.0,409.0,3.0,76.9,4.8
Evan Moore,CLE,2011.0,16.0,47.0,34.0,324.0,4.0,73.4,4.6
Ben Watson,CLE,2011.0,13.0,71.0,37.0,410.0,2.0,71.5,5.5
Kevin Boss,OAK,2011.0,14.0,40.0,28.0,368.0,3.0,68.8,4.9
Marcedes Lewis,JAC,2011.0,15.0,85.0,39.0,460.0,0.0,65.5,4.4
Dallas Clark,IND,2011.0,11.0,65.0,34.0,352.0,2.0,62.2,5.7
Kellen Davis,CHI,2011.0,16.0,34.0,18.0,206.0,5.0,59.6,3.7
Jeff King,ARI,2011.0,16.0,34.0,27.0,271.0,3.0,58.6,3.7
Kyle Rudolph,MIN,2011.0,15.0,39.0,26.0,249.0,3.0,55.9,3.7
Daniel Fells,DEN,2011.0,16.0,31.0,19.0,256.0,3.0,51.1,3.2
Charles Clay,MIA,2011.0,14.0,25.0,16.0,233.0,3.0,49.3,3.5
Delanie Walker,SF,2011.0,15.0,35.0,19.0,198.0,3.0,47.8,3.2
Lance Kendricks,STL,2011.0,15.0,58.0,28.0,352.0,0.0,46.4,3.1
Todd Heap,ARI,2011.0,10.0,36.0,24.0,283.0,1.0,46.3,4.6
Leonard Pope,KC,2011.0,16.0,34.0,24.0,247.0,1.0,42.7,2.7
James Casey,HOU,2011.0,14.0,24.0,18.0,260.0,1.0,42.1,3.0
Randy McMichael,SD,2011.0,16.0,44.0,30.0,271.0,0.0,42.1,2.6
Zach Miller,SEA,2011.0,15.0,44.0,25.0,233.0,0.0,35.8,2.4
Jacob Tamme,IND,2011.0,16.0,31.0,19.0,177.0,1.0,33.2,2.1
Clay Harbor,PHI,2011.0,16.0,19.0,13.0,163.0,1.0,28.8,1.8
Craig Stevens,TEN,2011.0,15.0,14.0,9.0,166.0,1.0,27.1,1.8
Alex Smith,CLE,2011.0,14.0,25.0,14.0,131.0,1.0,26.1,1.9
John Phillips,DAL,2011.0,16.0,18.0,15.0,101.0,1.0,23.6,1.5
