,Player,Projection,My Computed Score
0,Aaron Rodgers,349.8,272.1126944161883
1,Russell Wilson,320.4,262.10668249991267
2,Tom Brady,301.2,261.94074435873307
3,Cam Newton,296.8,250.90422961206679
4,Drew Brees,284.6,268.8100409533067
5,Matthew Stafford,276.1,263.47632090489753
6,Philip Rivers,275.0,263.51878520849516
7,Deshaun Watson,268.5,245.89644135957496
8,Matt Ryan,264.6,266.17811908835637
9,Ben Roethlisberger,263.2,255.0919065700244
10,Alex Smith,262.3,247.95120827069834
11,Blake Bortles,261.0,253.42234238178293
12,Patrick Mahomes,261.0,259.9059887027348
13,Kirk Cousins,259.3,253.6310195014093
14,Jared Goff,257.0,247.62025332074276
15,Dak Prescott,256.8,244.68288253374664
16,Marcus Mariota,256.6,248.1649817637805
17,Jimmy Garoppolo,253.8,255.6351390407408
18,Andrew Luck,250.1,246.73089388189644
19,Andy Dalton,249.7,242.39273577771158
20,Case Keenum,249.2,251.71581977326284
21,Ryan Tannehill,244.0,252.8237989602455
22,Carson Wentz,242.7,242.98094035332417
23,Mitchell Trubisky,241.3,241.81657819682977
24,Derek Carr,238.3,245.26924992505633
25,Eli Manning,236.3,249.98778006055403
26,Jameis Winston,218.9,239.1882581735248
27,Joe Flacco,216.1,242.68971444271006
28,Tyrod Taylor,198.3,218.58033975095395
29,Sam Darnold,167.5,210.07141255246353
30,Sam Bradford,153.8,214.8111779098012
31,Nathan Peterman,103.6,182.4584153296361
32,Josh Allen,93.0,177.74756612582226
33,Baker Mayfield,72.3,163.10167576274839
34,Josh Rosen,70.7,167.04714309280934
35,Josh McCown,65.5,151.97191161808843
36,Ryan Fitzpatrick,60.4,153.69868537253026
37,Nick Foles,53.9,134.043013718052
38,Brandon Weeden,32.9,124.61531690951738
39,Jacoby Brissett,29.7,114.3162808388791
40,Lamar Jackson,24.9,111.871695363382
41,Chase Daniel,22.9,112.42522854141974
42,Blaine Gabbert,17.5,106.49759656803276
43,Mason Rudolph,15.6,108.67843045953667
44,Brock Osweiler,12.2,104.73417947666216
45,Colt McCoy,11.8,102.99926972600694
46,Jeff Driskel,11.1,102.83883143391361
47,Brett Hundley,6.6,101.42253521422748
48,Kyle Lauletta,6.4,100.93770983808865
49,Sean Mannion,5.7,100.76813666312663
50,C.J. Beathard,5.4,100.39539666697587
51,Trevor Siemian,5.0,99.16518467297966
52,Chad Henne,3.7,99.19299068139904
53,AJ McCarron,2.7,100.52613599799056
54,Cody Kessler,2.6,96.55800067719079
55,Geno Smith,2.6,96.54662922479253
56,DeShone Kizer,2.1,95.5429341025922
57,Matt Schaub,1.8,95.5335563655609
58,Chad Kelly,1.4,95.07695451695312
59,Brian Hoyer,0.6,94.10959760677574
60,Taylor Heinicke,0.6,94.05740220203343
61,Cooper Rush,0.6,94.05740220203343
