Travis Kelce,KC,2019.0,12.0,94.0,1188.0,9.0,217.8
George Kittle,SF,2019.0,4.0,93.0,1195.0,8.0,212.0
Zach Ertz,PHI,2019.0,10.0,85.0,907.0,7.0,173.2
O.J. Howard,TB,2019.0,7.0,58.0,775.0,7.0,148.5
Evan Engram,NYG,2019.0,11.0,66.0,785.0,6.0,147.5
Jared Cook,NO,2019.0,9.0,60.0,744.0,6.0,138.4
Hunter Henry,LAC,2019.0,12.0,58.0,734.0,6.0,138.4
Vance McDonald,PIT,2019.0,7.0,58.0,697.0,5.0,128.7
David Njoku,CLE,2019.0,7.0,57.0,665.0,5.0,123.0
Jimmy Graham,GB,2019.0,11.0,56.0,597.0,5.0,115.7
Austin Hooper,ATL,2019.0,9.0,61.0,626.0,4.0,115.1
Delanie Walker,TEN,2019.0,11.0,53.0,568.0,5.0,113.3
Mark Andrews,BAL,2019.0,8.0,59.0,582.0,4.0,111.7
Kyle Rudolph,MIN,2019.0,12.0,56.0,555.0,5.0,111.5
Eric Ebron,IND,2019.0,6.0,54.0,605.0,4.0,109.5
T.J. Hockenson,DET,2019.0,5.0,54.0,582.0,4.0,109.2
Trey Burton,CHI,2019.0,6.0,51.0,546.0,4.0,104.1
Greg Olsen,CAR,2019.0,7.0,46.0,505.0,5.0,103.5
Noah Fant,DEN,2019.0,10.0,51.0,549.0,4.0,102.4
Jordan Reed,WAS,2019.0,10.0,51.0,525.0,4.0,102.0
Dallas Goedert,PHI,2019.0,10.0,40.0,440.0,5.0,94.0
Jason Witten,DAL,2019.0,8.0,48.0,449.0,4.0,92.9
Chris Herndon,NYJ,2019.0,4.0,40.0,465.0,4.0,88.5
Darren Waller,OAK,2019.0,6.0,41.0,435.0,4.0,88.0
Tyler Eifert,CIN,2019.0,9.0,40.0,455.0,3.0,83.5
Jack Doyle,IND,2019.0,6.0,37.0,415.0,3.0,78.0
Vernon Davis,WAS,2019.0,10.0,33.0,406.0,3.0,75.1
Geoff Swaim,JAC,2019.0,10.0,41.0,387.0,2.0,71.2
Adam Shaheen,CHI,2019.0,6.0,38.0,377.0,2.0,68.7
Ben Watson,NE,2019.0,10.0,28.0,315.0,3.0,63.5
Ricky Seals-Jones,ARI,2019.0,12.0,28.0,312.0,3.0,61.2
Mike Gesicki,MIA,2019.0,5.0,32.0,325.0,2.0,60.5
Jason Croom,BUF,2019.0,6.0,26.0,303.0,2.0,55.3
Blake Jarwin,DAL,2019.0,8.0,28.0,288.0,2.0,54.8
Gerald Everett,LAR,2019.0,9.0,28.0,282.0,2.0,54.2
Ian Thomas,CAR,2019.0,7.0,29.0,275.0,2.0,54.0
Irv Smith,MIN,2019.0,12.0,27.0,277.0,2.0,53.2
Nick Vannett,SEA,2019.0,11.0,27.0,275.0,2.0,53.0
Jordan Thomas,HOU,2019.0,10.0,25.0,277.0,2.0,52.2
Cameron Brate,TB,2019.0,7.0,21.0,229.0,3.0,51.4
C.J. Uzomah,CIN,2019.0,9.0,26.0,255.0,2.0,50.5
Will Dissly,SEA,2019.0,11.0,21.0,266.0,2.0,49.1
Hayden Hurst,BAL,2019.0,8.0,22.0,235.0,2.0,46.5
Dwayne Allen,MIA,2019.0,5.0,22.0,211.0,2.0,44.1
Jesse James,DET,2019.0,5.0,21.0,206.0,2.0,43.1
Jace Sternberger,GB,2019.0,11.0,20.0,204.0,2.0,42.4
Tyler Kroft,BUF,2019.0,6.0,20.0,239.0,1.0,39.9
Tyler Higbee,LAR,2019.0,9.0,20.0,229.0,1.0,38.9
Jonnu Smith,TEN,2019.0,11.0,20.0,226.0,1.0,38.6
Rhett Ellison,NYG,2019.0,11.0,21.0,219.0,1.0,38.4
Kahale Warring,HOU,2019.0,10.0,20.0,206.0,1.0,36.6
Charles Clay,ARI,2019.0,12.0,19.0,196.0,1.0,35.1
Virgil Green,LAC,2019.0,12.0,20.0,182.0,1.0,34.2
Matt LaCosse,NE,2019.0,10.0,16.0,180.0,1.0,32.0
Ryan Griffin,NYJ,2019.0,4.0,16.0,155.0,1.0,29.5
Demetrius Harris,CLE,2019.0,7.0,15.0,156.0,1.0,29.1
Mo Alie-Cox,IND,2019.0,6.0,14.0,143.0,1.0,27.3
James O'Shaughnessy,JAC,2019.0,10.0,13.0,137.0,1.0,26.2
Blake Bell,KC,2019.0,12.0,12.0,125.0,1.0,24.5
Josh Hill,NO,2019.0,9.0,11.0,129.0,1.0,24.4
Jeff Heuerman,DEN,2019.0,10.0,12.0,117.0,1.0,23.7
Xavier Grimble,PIT,2019.0,7.0,10.0,114.0,1.0,22.4
Jordan Akins,HOU,2019.0,10.0,9.0,105.0,1.0,21.0
Dan Arnold,NO,2019.0,9.0,9.0,94.0,1.0,19.9
Jake Butt,DEN,2019.0,10.0,9.0,86.0,1.0,19.1
Derek Carrier,OAK,2019.0,6.0,7.0,86.0,1.0,18.1
Logan Paulsen,ATL,2019.0,9.0,6.0,67.0,1.0,15.7
Nick Boyle,BAL,2019.0,8.0,8.0,91.0,0.0,13.1
Caleb Wilson,ARI,2019.0,12.0,7.0,77.0,0.0,11.2
Luke Willson,OAK,2019.0,6.0,7.0,77.0,0.0,11.2
Dalton Schultz,DAL,2019.0,8.0,7.0,76.0,0.0,11.1
Jerell Adams,NYG,2019.0,11.0,6.0,74.0,0.0,10.4
Marcedes Lewis,GB,2019.0,11.0,6.0,65.0,0.0,9.5
Garrett Celek,SF,2019.0,4.0,6.0,64.0,0.0,9.4
David Morgan,MIN,2019.0,12.0,4.0,45.0,0.0,6.5
Seth Devalve,CLE,2019.0,7.0,4.0,44.0,0.0,6.4
Michael Roberts,DET,2019.0,5.0,3.0,39.0,0.0,5.4
