Kellen Clemens,NYJ,7.0,31.0,55.0,356.0,1.0,1.0,3.0,12.0,0.0,12.4
Tarvaris Jackson,MIN,4.0,28.0,48.0,323.0,2.0,2.0,5.0,25.0,0.0,11.4
Jon Kitna,DAL,4.0,14.0,23.0,162.0,1.0,1.0,1.0,4.0,0.0,9.9
Sage Rosenfels,NYG,8.0,17.0,30.0,213.0,1.0,2.0,0.0,0.0,0.0,8.5
Brodie Croyle,KC,4.0,22.0,37.0,249.0,1.0,1.0,7.0,29.0,0.0,7.9
Matt Flynn,GB,10.0,20.0,33.0,215.0,0.0,1.0,0.0,0.0,0.0,7.6
Brady Quinn,DEN,9.0,16.0,28.0,187.0,0.0,1.0,2.0,6.0,0.0,5.1
Caleb Hanie,CHI,8.0,10.0,17.0,114.0,0.0,0.0,1.0,3.0,0.0,4.9
Marc Bulger,BAL,8.0,16.0,26.0,172.0,0.0,0.0,3.0,6.0,0.0,1.5
Ryan Fitzpatrick,BUF,6.0,2.0,4.0,25.0,0.0,0.0,0.0,1.0,0.0,1.1
Brian Hoyer,NE,5.0,14.0,21.0,165.0,0.0,0.0,1.0,2.0,0.0,0.8
Curtis Painter,IND,7.0,7.0,10.0,80.0,0.0,0.0,3.0,3.0,0.0,-0.5
Chase Daniel,NO,10.0,6.0,10.0,68.0,0.0,0.0,0.0,0.0,0.0,-5.3
