Player,Projection,My Computed Score
Christian McCaffrey,303.9,420.98717176698193
Bijan Robinson,248.5,350.61673770979047
Breece Hall,246.8,350.50607099586773
Jonathan Taylor,230.8,346.24904117332767
Kyren Williams,227.9,357.06310918642305
Saquon Barkley,216.6,320.28501828835283
Derrick Henry,213.2,334.1514522146255
Travis Etienne,209.2,326.6608488577536
James Cook,208.3,323.68288045657056
Jahmyr Gibbs,202.5,289.4614512962217
Josh Jacobs,198.5,301.1286912749072
Alvin Kamara,197.7,272.91971477779356
Rachaad White,196.8,272.8112038490265
Isiah Pacheco,196.5,319.4255981607136
De'Von Achane,189.5,294.826651263487
Kenneth Walker,188.0,300.3355767268528
David Montgomery,188.0,292.252188124797
Joe Mixon,187.8,287.3054845356105
Aaron Jones,185.1,277.2401136903132
Raheem Mostert,184.0,271.7099088561341
Zamir White,180.6,290.8486642128992
Najee Harris,174.6,296.8710443561194
Rhamondre Stevenson,172.6,260.16389576104837
Javonte Williams,169.2,251.60517003090249
D'Andre Swift,168.3,257.32514802022246
Brian Robinson Jr.,166.7,253.6321087693401
James Conner,165.1,263.5959984859357
Tyjae Spears,157.3,217.99661710439403
Jaylen Warren,155.2,216.806283965266
Tony Pollard,155.2,228.8327188178187
Devin Singletary,150.2,232.46167559303638
Gus Edwards,147.6,252.0198042838852
Ezekiel Elliott,144.8,211.94279039964204
Zack Moss,144.0,221.92105599253478
Jonathon Brooks,137.6,211.6515838727843
Austin Ekeler,136.5,180.7435800501285
Chase Brown,130.0,175.37594437785992
Jerome Ford,125.6,195.09343813403098
Ty Chandler,123.1,194.66349147559544
J.K. Dobbins,121.0,189.55270791793578
Nick Chubb,116.1,196.14534261979537
Zach Charbonnet,113.6,163.96160566768077
Jaleel McLaughlin,112.0,158.23606717939347
Tyler Allgeier,111.8,160.85620118361868
Chuba Hubbard,110.9,170.29539943126542
Antonio Gibson,103.7,152.75229160807064
Rico Dowdle,102.3,151.2006745730414
Trey Benson,90.9,138.9247525276278
Blake Corum,88.5,133.5723198632954
MarShawn Lloyd,87.8,130.35598432150817
Khalil Herbert,81.6,133.30342491487346
Ray Davis,79.7,127.98624325351723
Jamaal Williams,76.7,109.10377871022122
Alexander Mattison,76.0,130.3543476133294
Bucky Irving,73.3,116.89492694143543
Kenneth Gainwell,69.3,100.50629151875195
Justice Hill,68.7,93.6609002782594
Jordan Mason,68.0,113.53807745855578
Clyde Edwards-Helaire,67.8,91.6880413427943
Samaje Perine,64.7,80.44649156949266
Braelon Allen,62.8,110.1853518154241
Miles Sanders,58.1,94.12920062816391
Tank Bigsby,53.9,86.19275803055227
Dameon Pierce,53.3,85.80301946133893
Roschon Johnson,53.2,83.99737786300352
Tyrone Tracy Jr.,52.2,82.374520387025
Jaylen Wright,50.3,71.41293348495238
Trey Sermon,48.7,76.8283656050195
Ty Johnson,47.2,72.32833485492763
D'Onta Foreman,46.7,76.38486661906731
Kendre Miller,45.5,70.13961784570182
Ameer Abdullah,43.9,59.612751427052416
Pierre Strong Jr.,39.7,59.10167923567909
Kimani Vidal,37.5,69.73771397654274
D'Ernest Johnson,37.2,63.69451546706603
Eric Gray,35.6,59.57340573055962
Keaton Mitchell,34.0,55.82723409145818
Michael Carter,33.7,49.94863766577974
Cordarrelle Patterson,32.7,45.75409529312286
Cam Akers,27.7,44.01695942354158
Craig Reynolds,27.5,46.12070663344021
Dalvin Cook,27.0,45.436870788902986
Isaiah Davis,26.5,43.2198172425948
Israel Abanikanda,25.8,32.87820993189212
Ronnie Rivers,24.1,44.37018489933151
Dare Ogunbowale,23.6,33.528081888263436
Carson Steele,22.3,39.042437996024276
Julius Chestnut,21.5,31.265019094923453
Isaac Guerendo,21.0,35.00590220192761
Jase McClellan,17.2,34.953326779288055
Will Shipley,15.8,31.409391846482585
Audric Estime,13.3,28.172261955454445
