Player,Projection,My Computed Score
Jalen Hurts,351.1,87.06025958739473
Josh Allen,340.7,107.81477354869706
Patrick Mahomes,335.9,137.71275333026182
Lamar Jackson,317.5,49.45728271209304
Dak Prescott,301.7,149.50025890163602
Joe Burrow,297.3,154.59875300049652
Anthony Richardson,291.4,67.0734754520851
Kyler Murray,289.6,91.25711774934113
C.J. Stroud,289.1,156.59574449915442
Brock Purdy,288.9,160.0244843749178
Jordan Love,281.6,131.3154331329169
Trevor Lawrence,277.0,119.49716946965309
Jared Goff,273.1,175.393233852545
Caleb Williams,270.0,107.63399550777187
Jayden Daniels,268.4,70.20717020136526
Tua Tagovailoa,267.9,179.86825718109645
Deshaun Watson,265.9,94.9408122422871
Justin Herbert,259.8,113.04684900343726
Baker Mayfield,259.8,146.28822520832995
Kirk Cousins,256.0,160.46566603227348
Matthew Stafford,251.9,163.4377664270558
Aaron Rodgers,250.4,146.71294780393958
Will Levis,248.4,143.40067081524234
Geno Smith,244.7,117.170712999619
Derek Carr,234.9,142.09133964564046
Sam Darnold,234.8,127.84674783300879
Daniel Jones,232.7,67.48049981410092
Bryce Young,227.7,92.2824573854757
Russell Wilson,210.7,73.2771099319131
Bo Nix,210.7,101.21144929571703
Drake Maye,197.7,76.05312104858204
Gardner Minshew,144.9,80.41376471383747
Aidan O'Connell,110.1,63.36640416801219
Justin Fields,88.1,1.0682806292242946
Jacoby Brissett,66.0,33.2616733696324
Drew Lock,50.5,28.27071551072348
Sam Howell,41.4,19.814717910175307
Joe Flacco,29.3,18.211770231365417
Jake Browning,29.3,14.058655393317911
Nick Mullens,26.9,17.77848895050477
Jarrett Stidham,23.2,12.249887166112378
Clayton Tune,23.1,12.719081072698001
Tyson Bagent,22.8,12.117351086233418
Jimmy Garoppolo,22.7,13.276081011217356
Jameis Winston,21.3,12.838410290086264
Tyrod Taylor,20.1,8.872850410035758
Mason Rudolph,19.8,10.15959226606176
Carson Wentz,19.4,10.409114019871359
Malik Willis,19.1,7.8825449275295805
Marcus Mariota,18.8,6.861259578982197
Davis Mills,16.8,8.249417738545818
Easton Stick,16.8,5.622921798927945
Michael Penix Jr.,14.8,7.676320463822223
Mac Jones,14.5,9.238770953973587
Joshua Dobbs,14.2,8.146344098747475
Josh Johnson,13.2,8.258478770870697
Spencer Rattler,13.2,8.295404619227126
Mitchell Trubisky,12.4,7.331038155003353
Kenny Pickett,12.2,9.21283981786832
Kyle Trask,11.8,7.724486083371699
Cooper Rush,11.0,6.849965444025213
Andy Dalton,8.7,4.694616149527586
Hendon Hooker,4.7,3.334218336605912
