Player,Projection,My Computed Score
Travis Kelce,176.5,326.2899881524583
Sam LaPorta,171.5,302.6749549778816
George Kittle,160.2,304.2142766910902
Mark Andrews,158.8,282.54706175198856
Trey McBride,155.4,293.91930583148377
Jake Ferguson,150.3,265.9811402577371
Evan Engram,148.1,286.2592200870641
Dalton Kincaid,146.5,273.6391959835851
Kyle Pitts,144.3,285.6658602720331
David Njoku,141.7,267.1799979520586
Brock Bowers,128.9,233.47382554524845
Pat Freiermuth,127.7,224.56798979541668
Dalton Schultz,114.9,202.76211244622945
Dallas Goedert,113.7,222.61200269943248
T.J. Hockenson,113.4,207.89329782401813
Tyler Conklin,111.6,200.2053501652317
Cole Kmet,107.3,192.19116863250446
Cade Otton,104.0,181.06702009737563
Taysom Hill,102.8,91.38545321178754
Hunter Henry,92.0,156.8178736386148
Chigoziem Okonkwo,91.3,183.4932733334118
Juwan Johnson,88.3,152.44649484280893
Noah Fant,85.2,160.5646466009058
Hayden Hurst,80.7,143.77512286792305
Luke Musgrave,76.5,136.0980367453512
Daniel Bellinger,69.6,122.83917666341118
Jonnu Smith,67.5,132.42871068422306
Ja'Tavion Sanders,67.1,117.37291039865339
Theo Johnson,65.7,109.41311410449966
Mike Gesicki,65.5,119.20588137715896
Mo Alie-Cox,64.5,122.31584837956053
Colby Parkinson,64.5,122.31584837956053
Isaiah Likely,63.0,108.41268941024803
Tucker Kraft,62.7,119.48859154874089
Greg Dulcich,62.5,118.81440072843002
Zach Ertz,61.6,114.16031176104235
Tommy Tremble,61.0,108.89727874813195
Tyler Higbee,59.0,108.63629164897932
Michael Mayer,58.9,109.91942651481286
Noah Gray,56.1,103.721215582439
Kylen Granson,52.7,95.50043218913264
Ben Sinnott,52.2,93.81495513835553
Gerald Everett,51.6,90.1721524014341
Will Dissly,51.0,88.14957994050157
Jeremy Ruckert,50.7,88.75852398602429
Tanner Hudson,49.0,84.64813228937108
Dawson Knox,44.5,74.33952966034407
Connor Heyward,35.2,63.177996264793904
Austin Hooper,33.6,62.64516053027402
Johnny Mundt,29.6,54.02203495202408
Brevin Jordan,29.5,56.925400093846534
Darnell Washington,27.6,48.90035702490466
Jordan Akins,27.5,50.18349189073816
Elijah Higgins,25.2,44.050527733152485
Adam Trautman,23.2,52.636268450981056
Brenton Strange,22.6,38.52650762108947
Josh Oliver,19.6,45.3615245133528
Durham Smythe,19.4,30.979915048093943
Brock Wright,19.0,29.631533407472276
Charlie Woerner,18.6,29.903382042839535
Luke Schoonmaker,18.5,29.566286632684115
Payne Durham,17.8,28.82684903758512
Josh Whyle,16.6,24.781704115720096
Tip Reiman,10.1,23.058842204521664
Ian Thomas,10.1,23.058842204521664
