Travis Kelce,KC,2017.0,15.0,122.0,83.0,1038.0,8.0,194.0,12.9
Rob Gronkowski,NE,2017.0,13.0,105.0,69.0,1083.0,8.0,190.8,14.7
Zach Ertz,PHI,2017.0,14.0,110.0,74.0,824.0,8.0,165.4,11.8
Evan Engram,NYG,2017.0,15.0,115.0,64.0,722.0,6.0,141.6,9.4
Jimmy Graham,SEA,2017.0,16.0,95.0,57.0,520.0,10.0,140.5,8.8
Delanie Walker,TEN,2017.0,16.0,111.0,74.0,807.0,3.0,137.5,8.6
Kyle Rudolph,MIN,2017.0,16.0,81.0,57.0,532.0,8.0,129.7,8.1
Jack Doyle,IND,2017.0,15.0,108.0,80.0,690.0,4.0,129.0,8.6
Cameron Brate,TB,2017.0,16.0,77.0,48.0,591.0,6.0,119.1,7.4
Jason Witten,DAL,2017.0,16.0,87.0,63.0,560.0,5.0,115.5,7.2
Ben Watson,BAL,2017.0,16.0,79.0,61.0,522.0,4.0,106.7,6.7
Eric Ebron,DET,2017.0,16.0,86.0,53.0,574.0,4.0,105.9,6.6
Jared Cook,OAK,2017.0,16.0,86.0,54.0,687.0,2.0,105.7,6.6
Hunter Henry,LAC,2017.0,12.0,62.0,45.0,579.0,4.0,104.4,8.7
Tyler Kroft,CIN,2017.0,15.0,62.0,42.0,404.0,7.0,103.4,6.9
Vernon Davis,WAS,2017.0,16.0,68.0,43.0,648.0,3.0,100.3,6.3
Austin Hooper,ATL,2017.0,16.0,65.0,49.0,526.0,3.0,95.1,5.9
Charles Clay,BUF,2017.0,13.0,74.0,49.0,558.0,2.0,92.3,7.1
O.J. Howard,TB,2017.0,13.0,39.0,26.0,432.0,6.0,88.2,6.8
George Kittle,SF,2017.0,15.0,63.0,43.0,515.0,2.0,85.0,5.7
David Njoku,CLE,2017.0,16.0,60.0,32.0,386.0,4.0,78.7,4.9
Julius Thomas,MIA,2017.0,14.0,62.0,41.0,388.0,3.0,77.3,5.5
Jesse James,PIT,2017.0,14.0,64.0,43.0,372.0,3.0,76.7,5.5
Austin Seferian-Jenkins,NYJ,2017.0,13.0,74.0,50.0,357.0,3.0,76.7,5.9
Marcedes Lewis,JAC,2017.0,16.0,48.0,24.0,318.0,5.0,73.8,4.6
Garrett Celek,SF,2017.0,13.0,33.0,21.0,336.0,4.0,68.1,5.2
Trey Burton,PHI,2017.0,11.0,31.0,23.0,248.0,5.0,66.3,6.0
Ed Dickson,CAR,2017.0,14.0,48.0,30.0,437.0,1.0,64.7,4.6
Antonio Gates,LAC,2017.0,16.0,52.0,30.0,316.0,3.0,64.6,4.0
Jermaine Gresham,ARI,2017.0,14.0,46.0,33.0,322.0,2.0,60.7,4.3
Seth Devalve,CLE,2017.0,16.0,58.0,33.0,395.0,1.0,60.0,3.8
Nick O'Leary,BUF,2017.0,13.0,32.0,22.0,322.0,2.0,53.2,4.1
Stephen Anderson,HOU,2017.0,14.0,53.0,25.0,342.0,1.0,52.7,3.8
Coby Fleener,NO,2017.0,11.0,30.0,22.0,295.0,2.0,52.5,4.8
Tyler Higbee,LAR,2017.0,14.0,45.0,25.0,295.0,1.0,48.0,3.4
Rhett Ellison,NYG,2017.0,12.0,32.0,24.0,235.0,2.0,47.5,4.0
Luke Willson,SEA,2017.0,13.0,22.0,15.0,153.0,4.0,46.8,3.6
Jordan Reed,WAS,2017.0,6.0,35.0,27.0,211.0,2.0,46.6,7.8
Zach Miller,CHI,2017.0,8.0,35.0,20.0,236.0,2.0,45.6,5.7
A.J. Derby,DEN,2017.0,11.0,40.0,21.0,244.0,2.0,44.9,4.1
Darren Fells,DET,2017.0,13.0,26.0,17.0,177.0,3.0,44.2,3.4
Ricky Seals-Jones,ARI,2017.0,8.0,28.0,12.0,201.0,3.0,44.1,5.5
Gerald Everett,LAR,2017.0,13.0,32.0,16.0,244.0,2.0,43.7,3.4
Martellus Bennett,GB,2017.0,9.0,44.0,30.0,286.0,0.0,43.6,4.8
Demetrius Harris,KC,2017.0,13.0,35.0,18.0,224.0,1.0,37.4,2.9
Adam Shaheen,CHI,2017.0,6.0,14.0,12.0,127.0,3.0,36.7,6.1
Jonnu Smith,TEN,2017.0,13.0,30.0,18.0,157.0,2.0,36.7,2.8
Lance Kendricks,GB,2017.0,11.0,35.0,18.0,203.0,1.0,35.3,3.2
Nick Boyle,BAL,2017.0,15.0,37.0,28.0,203.0,0.0,34.3,2.3
Greg Olsen,CAR,2017.0,7.0,38.0,17.0,191.0,1.0,33.6,4.8
Virgil Green,DEN,2017.0,11.0,22.0,14.0,191.0,1.0,32.1,2.9
Vance McDonald,PIT,2017.0,9.0,24.0,14.0,188.0,1.0,31.8,3.5
Dion Sims,CHI,2017.0,12.0,29.0,15.0,180.0,1.0,31.5,2.6
Jeff Heuerman,DEN,2017.0,10.0,18.0,9.0,142.0,2.0,30.7,3.1
Levine Toilolo,ATL,2017.0,9.0,14.0,12.0,122.0,1.0,30.2,3.4
Ryan Griffin,HOU,2017.0,6.0,26.0,13.0,158.0,1.0,28.3,4.7
Richard Rodgers,GB,2017.0,9.0,19.0,12.0,160.0,1.0,28.0,3.1
James O'Shaughnessy,JAC,2017.0,14.0,24.0,14.0,149.0,1.0,27.9,2.0
Brent Celek,PHI,2017.0,11.0,24.0,13.0,130.0,1.0,25.5,2.3
Troy Niklas,ARI,2017.0,11.0,23.0,11.0,132.0,1.0,24.7,2.2
Nick Vannett,SEA,2017.0,8.0,15.0,12.0,124.0,1.0,24.4,3.1
Anthony Fasano,MIA,2017.0,8.0,16.0,12.0,107.0,1.0,22.7,2.8
Eric Tomlinson,NYJ,2017.0,8.0,11.0,8.0,121.0,1.0,22.1,2.8
Josh Hill,NO,2017.0,10.0,22.0,16.0,125.0,1.0,21.7,2.2
Maxx Williams,BAL,2017.0,9.0,18.0,15.0,86.0,1.0,20.7,2.3
David Morgan,MIN,2017.0,7.0,12.0,10.0,95.0,1.0,20.5,2.9
