Aaron Rodgers,GB,2016.0,16.0,401.0,610.0,4428.0,40.0,7.0,67.0,369.0,4.0,383.0,23.9
Matt Ryan,ATL,2016.0,16.0,373.0,534.0,4944.0,38.0,7.0,35.0,117.0,0.0,352.5,22.0
Drew Brees,NO,2016.0,16.0,471.0,673.0,5207.0,37.0,15.0,23.0,20.0,2.0,347.3,21.7
Andrew Luck,IND,2016.0,15.0,346.0,545.0,4240.0,31.0,13.0,64.0,341.0,2.0,316.7,21.1
Kirk Cousins,WAS,2016.0,16.0,406.0,606.0,4917.0,25.0,12.0,34.0,100.0,4.0,312.7,19.5
Dak Prescott,DAL,2016.0,16.0,311.0,459.0,3667.0,23.0,4.0,57.0,282.0,6.0,290.9,18.2
Matthew Stafford,DET,2016.0,16.0,388.0,594.0,4327.0,24.0,10.0,37.0,207.0,2.0,287.8,18.0
Philip Rivers,SD,2016.0,16.0,349.0,578.0,4390.0,33.0,21.0,14.0,35.0,0.0,280.1,17.5
Blake Bortles,JAC,2016.0,16.0,368.0,625.0,3905.0,23.0,16.0,58.0,359.0,3.0,274.1,17.1
Tyrod Taylor,BUF,2016.0,15.0,270.0,437.0,3023.0,17.0,6.0,95.0,580.0,6.0,272.9,18.2
Jameis Winston,TB,2016.0,16.0,345.0,568.0,4090.0,28.0,18.0,52.0,168.0,1.0,270.4,16.9
Marcus Mariota,TEN,2016.0,15.0,276.0,451.0,3426.0,26.0,9.0,59.0,357.0,2.0,269.7,18.0
Russell Wilson,SEA,2016.0,16.0,353.0,546.0,4219.0,21.0,11.0,72.0,259.0,1.0,269.7,16.9
Andy Dalton,CIN,2016.0,16.0,364.0,563.0,4206.0,18.0,8.0,46.0,184.0,4.0,268.6,16.8
Cam Newton,CAR,2016.0,15.0,270.0,509.0,3509.0,19.0,14.0,90.0,359.0,5.0,264.3,17.6
Derek Carr,OAK,2016.0,15.0,356.0,559.0,3933.0,28.0,6.0,38.0,69.0,0.0,264.2,17.6
Ben Roethlisberger,PIT,2016.0,14.0,328.0,509.0,3819.0,29.0,13.0,16.0,14.0,1.0,259.2,18.5
Tom Brady,NE,2016.0,12.0,291.0,432.0,3554.0,28.0,2.0,28.0,64.0,0.0,258.6,21.5
Carson Palmer,ARI,2016.0,15.0,365.0,598.0,4237.0,26.0,14.0,14.0,38.0,0.0,255.3,17.0
Joe Flacco,BAL,2016.0,16.0,437.0,673.0,4317.0,20.0,15.0,22.0,53.0,2.0,249.0,15.6
Eli Manning,NYG,2016.0,16.0,377.0,598.0,4027.0,26.0,16.0,21.0,-9.0,0.0,240.2,15.0
Alex Smith,KC,2016.0,15.0,328.0,489.0,3502.0,15.0,8.0,48.0,134.0,5.0,227.5,15.2
Sam Bradford,MIN,2016.0,15.0,395.0,552.0,3877.0,20.0,5.0,20.0,53.0,0.0,225.4,15.0
Carson Wentz,PHI,2016.0,16.0,379.0,607.0,3782.0,16.0,14.0,46.0,150.0,2.0,222.3,13.9
Colin Kaepernick,SF,2016.0,11.0,196.0,332.0,2241.0,16.0,4.0,69.0,468.0,2.0,204.4,18.6
Ryan Tannehill,MIA,2016.0,13.0,261.0,389.0,2997.0,19.0,12.0,39.0,164.0,1.0,200.3,15.4
Trevor Siemian,DEN,2016.0,14.0,289.0,486.0,3401.0,18.0,10.0,28.0,57.0,0.0,199.7,14.3
Brock Osweiler,HOU,2016.0,15.0,301.0,510.0,2957.0,15.0,16.0,30.0,131.0,2.0,185.4,12.4
Ryan Fitzpatrick,NYJ,2016.0,14.0,229.0,404.0,2709.0,12.0,17.0,33.0,130.0,0.0,150.4,10.7
Case Keenum,LAR,2016.0,10.0,196.0,322.0,2201.0,9.0,11.0,20.0,51.0,1.0,122.1,12.2
Blaine Gabbert,SF,2016.0,6.0,91.0,160.0,925.0,5.0,6.0,40.0,173.0,2.0,80.3,13.4
Brian Hoyer,CHI,2016.0,6.0,134.0,200.0,1445.0,6.0,0.0,8.0,-7.0,0.0,79.1,13.2
Matt Barkley,CHI,2016.0,7.0,129.0,216.0,1611.0,8.0,14.0,7.0,2.0,0.0,78.6,11.2
Cody Kessler,CLE,2016.0,9.0,128.0,195.0,1380.0,6.0,2.0,11.0,18.0,0.0,77.0,8.6
Robert Griffin III,CLE,2016.0,5.0,87.0,147.0,886.0,2.0,3.0,31.0,190.0,2.0,69.4,13.9
Jared Goff,LAR,2016.0,7.0,112.0,205.0,1089.0,5.0,7.0,8.0,16.0,1.0,60.2,8.6
Matt Moore,MIA,2016.0,4.0,55.0,87.0,721.0,8.0,3.0,1.0,-1.0,0.0,57.7,14.4
