Stephen Anderson,HOU,2016.0,9.0,16.0,11.0,93.0,1.0,20.8,2.3
Larry Donnell,NYG,2016.0,6.0,22.0,15.0,92.0,1.0,20.7,3.5
Tyler Higbee,LAR,2016.0,11.0,29.0,11.0,85.0,1.0,20.0,1.8
Jeff Heuerman,DEN,2016.0,6.0,17.0,9.0,141.0,0.0,18.6,3.1
John Phillips,DEN,2016.0,8.0,14.0,10.0,72.0,1.0,18.2,2.3
Crockett Gillmore,BAL,2016.0,5.0,14.0,8.0,71.0,1.0,17.1,3.4
Neal Sterling,JAC,2016.0,5.0,16.0,12.0,110.0,0.0,17.0,3.4
Rhett Ellison,MIN,2016.0,9.0,14.0,9.0,57.0,0.0,16.3,1.8
Jordan Cameron,MIA,2016.0,3.0,11.0,8.0,60.0,1.0,16.0,5.3
Nick O'Leary,BUF,2016.0,10.0,14.0,9.0,114.0,0.0,15.9,1.6
Dominique Jones,MIA,2016.0,6.0,10.0,7.0,61.0,1.0,15.6,2.6
Brandon Myers,TB,2016.0,8.0,14.0,7.0,59.0,1.0,15.4,1.9
Tyler Kroft,CIN,2016.0,6.0,12.0,10.0,92.0,0.0,14.2,2.4
Alan Cross,TB,2016.0,9.0,10.0,6.0,38.0,1.0,12.8,1.4
Joshua Perkins,ATL,2016.0,3.0,5.0,3.0,42.0,1.0,11.7,3.9
David Johnson,PIT,2016.0,11.0,11.0,7.0,80.0,0.0,11.5,1.0
Gavin Escobar,DAL,2016.0,3.0,7.0,4.0,30.0,1.0,11.0,3.7
Blake Bell,SF,2016.0,6.0,9.0,4.0,85.0,0.0,10.5,1.8
Brandon Bostick,NYJ,2016.0,9.0,11.0,8.0,63.0,0.0,10.3,1.1
Geoff Swaim,DAL,2016.0,6.0,8.0,6.0,69.0,0.0,9.9,1.7
Matt Lengel,NE,2016.0,2.0,3.0,2.0,22.0,1.0,9.2,4.6
Connor Hamlett,CLE,2016.0,1.0,1.0,1.0,17.0,1.0,8.2,8.2
Phillip Supernaw,TEN,2016.0,4.0,5.0,4.0,62.0,0.0,8.2,2.1
Jace Amaro,TEN,2016.0,1.0,4.0,3.0,59.0,0.0,7.4,7.4
Nick Boyle,BAL,2016.0,3.0,6.0,6.0,44.0,0.0,7.4,2.5
D.J. Tialavea,ATL,2016.0,1.0,1.0,1.0,1.0,1.0,6.6,6.6
Ben Braunecker,CHI,2016.0,3.0,6.0,4.0,41.0,0.0,6.1,2.0
Ifeanyi Momah,ARI,2016.0,3.0,4.0,2.0,50.0,0.0,6.0,2.0
Lee Smith,OAK,2016.0,3.0,6.0,6.0,29.0,0.0,5.9,2.0
Justin Perillo,GB,2016.0,4.0,5.0,4.0,35.0,0.0,5.5,1.4
Malcolm Johnson,CLE,2016.0,5.0,7.0,5.0,44.0,0.0,5.1,1.0
Luke Stocker,TB,2016.0,6.0,8.0,5.0,23.0,0.0,4.8,0.8
Nick Vannett,SEA,2016.0,3.0,4.0,3.0,32.0,0.0,4.7,1.6
Brandon Williams,SEA,2016.0,2.0,3.0,2.0,36.0,0.0,4.6,2.3
Niles Paul,WAS,2016.0,2.0,2.0,2.0,27.0,0.0,3.7,1.9
Sean McGrath,SD,2016.0,2.0,2.0,2.0,25.0,0.0,3.5,1.8
Clay Harbor,DET,2016.0,2.0,3.0,3.0,19.0,0.0,3.4,1.7
Logan Paulsen,CHI,2016.0,7.0,10.0,3.0,15.0,0.0,3.0,0.4
Ross Travis,KC,2016.0,4.0,6.0,3.0,15.0,0.0,3.0,0.8
Cole Wick,DET,2016.0,4.0,3.0,2.0,18.0,0.0,2.8,0.7
Alex Ellis,JAC,2016.0,3.0,4.0,3.0,11.0,0.0,2.6,0.9
Je'Ron Hamm,SF,2016.0,1.0,4.0,2.0,13.0,0.0,2.3,2.3
Ryan Hewitt,CIN,2016.0,2.0,3.0,2.0,13.0,0.0,2.3,1.2
MyCole Pruitt,MIN,2016.0,2.0,2.0,2.0,13.0,0.0,2.3,1.2
Derek Carrier,WAS,2016.0,2.0,2.0,2.0,10.0,0.0,2.0,1.0
Gerald Christian,BUF,2016.0,1.0,2.0,1.0,14.0,0.0,1.9,1.9
Henry Krieger-Coble,DEN,2016.0,1.0,1.0,1.0,13.0,0.0,1.8,1.8
Chris Manhertz,CAR,2016.0,1.0,1.0,1.0,10.0,0.0,1.5,1.5
Randall Telfer,CLE,2016.0,5.0,6.0,2.0,4.0,0.0,1.4,0.3
Matthew Mulligan,DET,2016.0,1.0,1.0,1.0,8.0,0.0,1.3,1.3
David Morgan,MIN,2016.0,1.0,1.0,1.0,4.0,0.0,0.9,0.9
James O'Shaughnessy,KC,2016.0,3.0,3.0,2.0,-1.0,0.0,0.9,0.3
Troy Niklas,ARI,2016.0,2.0,2.0,1.0,0.0,0.0,0.5,0.3
Braedon Bowman,NYJ,2016.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kellen Davis,NYJ,2016.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Khari Lee,DET,2016.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hakeem Valles,ARI,2016.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
