Jimmy Graham,NO,2012.0,15.0,135.0,85.0,982.0,9.0,194.7,13.0
Tony Gonzalez,ATL,2012.0,16.0,124.0,93.0,930.0,8.0,187.5,11.7
Jason Witten,DAL,2012.0,16.0,147.0,110.0,1039.0,3.0,176.9,11.1
Rob Gronkowski,NE,2012.0,11.0,79.0,55.0,790.0,11.0,170.5,15.5
Heath Miller,PIT,2012.0,15.0,101.0,71.0,816.0,8.0,165.1,11.0
Greg Olsen,CAR,2012.0,16.0,104.0,69.0,843.0,5.0,148.8,9.3
Brandon Myers,OAK,2012.0,16.0,105.0,79.0,806.0,4.0,144.1,9.0
Dennis Pitta,BAL,2012.0,16.0,94.0,61.0,669.0,7.0,139.4,8.7
Owen Daniels,HOU,2012.0,15.0,104.0,62.0,716.0,6.0,138.6,9.2
Jermaine Gresham,CIN,2012.0,16.0,94.0,64.0,737.0,5.0,133.7,8.4
Kyle Rudolph,MIN,2012.0,16.0,93.0,53.0,493.0,9.0,129.8,8.1
Antonio Gates,SD,2012.0,15.0,80.0,49.0,538.0,7.0,120.3,8.0
Martellus Bennett,NYG,2012.0,16.0,90.0,55.0,626.0,5.0,120.1,7.5
Scott Chandler,BUF,2012.0,15.0,74.0,43.0,571.0,6.0,112.6,7.5
Jermichael Finley,GB,2012.0,16.0,86.0,61.0,667.0,2.0,107.2,6.7
Vernon Davis,SF,2012.0,15.0,61.0,41.0,548.0,5.0,105.3,7.0
Aaron Hernandez,NE,2012.0,10.0,83.0,51.0,483.0,5.0,104.3,10.4
Marcedes Lewis,JAC,2012.0,15.0,77.0,52.0,540.0,4.0,104.0,6.9
Brent Celek,PHI,2012.0,15.0,88.0,57.0,684.0,1.0,100.9,6.7
Brandon Pettigrew,DET,2012.0,13.0,102.0,59.0,565.0,3.0,100.0,7.7
Lance Kendricks,STL,2012.0,16.0,64.0,42.0,519.0,4.0,96.9,6.1
Jared Cook,TEN,2012.0,13.0,72.0,44.0,523.0,4.0,96.3,7.4
Jacob Tamme,DEN,2012.0,15.0,85.0,52.0,555.0,2.0,93.5,6.2
Dwayne Allen,IND,2012.0,15.0,66.0,45.0,521.0,3.0,93.1,6.2
Ben Watson,CLE,2012.0,16.0,82.0,49.0,501.0,3.0,92.6,5.8
Dallas Clark,TB,2012.0,16.0,75.0,47.0,435.0,4.0,91.0,5.7
Joel Dreessen,DEN,2012.0,16.0,58.0,41.0,356.0,5.0,86.1,5.4
Anthony Fasano,MIA,2012.0,16.0,69.0,41.0,332.0,5.0,83.7,5.2
Tony Scheffler,DET,2012.0,15.0,85.0,42.0,504.0,1.0,77.4,5.2
Zach Miller,SEA,2012.0,16.0,53.0,38.0,396.0,3.0,74.6,4.7
James Casey,HOU,2012.0,16.0,45.0,34.0,330.0,3.0,68.6,4.3
Jeff Cumberland,NYJ,2012.0,14.0,53.0,29.0,359.0,3.0,68.4,4.9
Tony Moeaki,KC,2012.0,14.0,56.0,33.0,453.0,1.0,67.8,4.8
Robert Housler,ARI,2012.0,13.0,68.0,45.0,417.0,0.0,64.2,4.9
Delanie Walker,SF,2012.0,15.0,39.0,21.0,339.0,3.0,60.4,4.0
Garrett Graham,HOU,2012.0,13.0,39.0,28.0,263.0,3.0,58.3,4.5
Dustin Keller,NYJ,2012.0,8.0,36.0,28.0,317.0,2.0,57.7,7.2
Anthony McCoy,SEA,2012.0,14.0,28.0,18.0,291.0,3.0,56.1,4.0
Coby Fleener,IND,2012.0,12.0,48.0,26.0,281.0,2.0,53.1,4.4
Logan Paulsen,WAS,2012.0,13.0,38.0,25.0,308.0,1.0,49.3,3.8
Craig Stevens,TEN,2012.0,14.0,33.0,23.0,275.0,1.0,45.0,3.2
Fred Davis,WAS,2012.0,7.0,31.0,24.0,325.0,0.0,44.6,6.4
Kellen Davis,CHI,2012.0,14.0,44.0,19.0,229.0,2.0,42.4,3.0
Tom Crabtree,GB,2012.0,8.0,12.0,8.0,203.0,3.0,42.3,5.3
Charles Clay,MIA,2012.0,13.0,33.0,18.0,212.0,2.0,42.2,3.2
Clay Harbor,PHI,2012.0,11.0,39.0,25.0,188.0,2.0,41.3,3.8
Jordan Cameron,CLE,2012.0,13.0,40.0,20.0,226.0,1.0,38.6,3.0
David Thomas,NO,2012.0,7.0,17.0,11.0,86.0,4.0,38.1,5.4
Ed Dickson,BAL,2012.0,11.0,33.0,21.0,225.0,0.0,33.0,3.0
Dante Rosario,SD,2012.0,10.0,18.0,10.0,95.0,3.0,30.5,3.1
Luke Stocker,TB,2012.0,12.0,27.0,16.0,165.0,1.0,30.5,2.5
Will Heller,DET,2012.0,10.0,23.0,17.0,150.0,1.0,29.5,3.0
