Brian Hoyer,ARI,2012.0,2.0,30.0,53.0,330.0,1.0,2.0,1.0,6.0,0.0,15.8,7.9
Shaun Hill,DET,2012.0,1.0,10.0,13.0,172.0,2.0,0.0,1.0,-1.0,0.0,14.8,14.8
Greg McElroy,NYJ,2012.0,2.0,19.0,31.0,214.0,1.0,1.0,8.0,30.0,0.0,12.6,6.3
Tim Tebow,NYJ,2012.0,11.0,6.0,8.0,39.0,0.0,0.0,33.0,97.0,0.0,11.3,1.0
Matt Moore,MIA,2012.0,2.0,11.0,19.0,131.0,1.0,0.0,5.0,-3.0,0.0,8.9,4.5
Colt McCoy,CLE,2012.0,2.0,9.0,17.0,79.0,1.0,0.0,4.0,15.0,0.0,8.7,4.3
Kyle Orton,DAL,2012.0,1.0,9.0,10.0,89.0,1.0,0.0,0.0,0.0,0.0,7.6,7.6
T.J. Yates,HOU,2012.0,3.0,4.0,10.0,38.0,0.0,1.0,2.0,-1.0,1.0,4.4,1.5
Matt Leinart,OAK,2012.0,2.0,16.0,33.0,115.0,0.0,1.0,0.0,0.0,0.0,3.6,1.8
Bruce Gradkowski,CIN,2012.0,2.0,5.0,11.0,65.0,0.0,0.0,4.0,-2.0,0.0,2.4,1.2
Derek Anderson,CAR,2012.0,2.0,4.0,4.0,58.0,0.0,0.0,0.0,0.0,0.0,2.3,1.2
Chase Daniel,NO,2012.0,1.0,1.0,1.0,10.0,0.0,0.0,3.0,19.0,0.0,2.3,2.3
Matt Flynn,SEA,2012.0,2.0,5.0,9.0,68.0,0.0,0.0,4.0,-5.0,0.0,2.2,1.1
Dan Orlovsky,TB,2012.0,1.0,4.0,7.0,51.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Rusty Smith,TEN,2012.0,1.0,3.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4
Tyler Thigpen,BUF,2012.0,2.0,3.0,5.0,30.0,0.0,0.0,1.0,-1.0,0.0,1.1,0.6
Kellen Clemens,STL,2012.0,2.0,1.0,3.0,39.0,0.0,1.0,2.0,5.0,0.0,1.1,0.5
Trent Edwards,PHI,2012.0,1.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
David Carr,NYG,2012.0,2.0,2.0,3.0,19.0,0.0,0.0,3.0,-3.0,0.0,0.5,0.2
Joe Webb,MIN,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-0.1,-0.1
Luke McCown,ATL,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,-0.3,-0.3
Brock Osweiler,DEN,2012.0,5.0,2.0,4.0,12.0,0.0,0.0,8.0,-13.0,0.0,-0.8,-0.2
Ryan Mallett,NE,2012.0,3.0,1.0,4.0,17.0,0.0,1.0,8.0,-9.0,0.0,-1.2,-0.4
Josh Johnson,CLE,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0
