Aaron Rodgers,GB,2011.0,15.0,343.0,502.0,4643.0,45.0,6.0,60.0,257.0,3.0,403.4,26.9
Drew Brees,NO,2011.0,16.0,468.0,657.0,5476.0,46.0,14.0,21.0,86.0,1.0,401.6,25.1
Cam Newton,CAR,2011.0,16.0,310.0,517.0,4051.0,21.0,17.0,126.0,706.0,14.0,379.6,23.7
Tom Brady,NE,2011.0,16.0,401.0,611.0,5239.0,39.0,12.0,43.0,109.0,3.0,378.5,23.7
Matthew Stafford,DET,2011.0,16.0,421.0,663.0,5038.0,41.0,16.0,22.0,78.0,0.0,355.3,22.2
Eli Manning,NYG,2011.0,16.0,359.0,589.0,4933.0,29.0,16.0,35.0,15.0,1.0,296.8,18.6
Tony Romo,DAL,2011.0,16.0,346.0,522.0,4184.0,31.0,10.0,22.0,46.0,1.0,286.0,17.9
Matt Ryan,ATL,2011.0,16.0,347.0,565.0,4177.0,29.0,12.0,37.0,84.0,2.0,285.5,17.8
Philip Rivers,SD,2011.0,16.0,366.0,582.0,4624.0,27.0,20.0,26.0,36.0,1.0,272.6,17.0
Mark Sanchez,NYJ,2011.0,16.0,308.0,542.0,3474.0,26.0,18.0,37.0,103.0,6.0,255.3,16.0
Michael Vick,PHI,2011.0,13.0,253.0,423.0,3303.0,18.0,14.0,76.0,589.0,1.0,247.0,19.0
Ryan Fitzpatrick,BUF,2011.0,16.0,353.0,570.0,3832.0,24.0,24.0,56.0,215.0,0.0,242.8,15.2
Ben Roethlisberger,PIT,2011.0,15.0,324.0,513.0,4077.0,21.0,14.0,31.0,70.0,0.0,230.1,15.3
Josh Freeman,TB,2011.0,15.0,346.0,553.0,3590.0,16.0,22.0,55.0,238.0,4.0,223.4,14.9
Andy Dalton,CIN,2011.0,16.0,300.0,516.0,3398.0,20.0,13.0,37.0,152.0,1.0,220.1,13.8
Joe Flacco,BAL,2011.0,16.0,312.0,542.0,3610.0,20.0,12.0,39.0,88.0,1.0,215.2,13.5
Alex Smith,SF,2011.0,16.0,273.0,445.0,3144.0,17.0,5.0,52.0,179.0,2.0,214.7,13.4
Matt Hasselbeck,TEN,2011.0,16.0,319.0,518.0,3571.0,18.0,14.0,20.0,52.0,0.0,204.0,12.8
Tim Tebow,DEN,2011.0,14.0,126.0,271.0,1729.0,12.0,6.0,122.0,660.0,6.0,201.2,14.4
Tarvaris Jackson,SEA,2011.0,15.0,271.0,450.0,3091.0,14.0,13.0,40.0,108.0,1.0,173.4,11.6
Colt McCoy,CLE,2011.0,13.0,265.0,463.0,2733.0,14.0,11.0,61.0,214.0,0.0,171.7,13.2
Rex Grossman,WAS,2011.0,14.0,265.0,458.0,3151.0,16.0,20.0,20.0,11.0,1.0,167.1,11.9
Matt Schaub,HOU,2011.0,10.0,178.0,292.0,2479.0,15.0,6.0,15.0,9.0,2.0,164.1,16.4
Matt Moore,MIA,2011.0,13.0,210.0,347.0,2497.0,16.0,9.0,32.0,65.0,2.0,161.4,12.4
Carson Palmer,OAK,2011.0,10.0,199.0,328.0,2753.0,13.0,16.0,16.0,20.0,1.0,152.1,15.2
Jay Cutler,CHI,2011.0,10.0,182.0,314.0,2319.0,13.0,7.0,18.0,55.0,1.0,143.3,14.3
Christian Ponder,MIN,2011.0,11.0,158.0,291.0,1853.0,13.0,13.0,28.0,219.0,0.0,131.0,11.9
Blaine Gabbert,JAC,2011.0,15.0,210.0,413.0,2214.0,12.0,11.0,48.0,98.0,0.0,125.4,8.4
John Skelton,ARI,2011.0,8.0,151.0,275.0,1913.0,11.0,14.0,28.0,128.0,0.0,117.3,14.7
Kevin Kolb,ARI,2011.0,9.0,146.0,253.0,1955.0,9.0,8.0,17.0,65.0,0.0,106.7,11.9
Matt Cassel,KC,2011.0,9.0,160.0,269.0,1713.0,10.0,9.0,25.0,99.0,0.0,105.4,11.7
Kyle Orton,DEN,2011.0,9.0,150.0,252.0,1758.0,9.0,9.0,11.0,13.0,0.0,94.6,10.5
Sam Bradford,STL,2011.0,10.0,191.0,358.0,2164.0,6.0,6.0,18.0,26.0,0.0,93.2,9.3
Jason Campbell,OAK,2011.0,6.0,100.0,165.0,1170.0,6.0,4.0,18.0,60.0,2.0,82.8,13.8
Curtis Painter,IND,2011.0,9.0,132.0,243.0,1541.0,6.0,9.0,17.0,107.0,0.0,81.3,9.0
Donovan McNabb,MIN,2011.0,6.0,94.0,156.0,1026.0,4.0,2.0,14.0,59.0,1.0,66.9,11.2
Chad Henne,MIA,2011.0,4.0,64.0,112.0,868.0,4.0,4.0,14.0,101.0,1.0,62.8,15.7
Dan Orlovsky,IND,2011.0,8.0,122.0,193.0,1201.0,6.0,4.0,6.0,5.0,0.0,62.5,7.8
John Beck,WAS,2011.0,4.0,80.0,132.0,858.0,2.0,4.0,11.0,43.0,2.0,52.6,13.2
