Calvin Johnson,DET,2012.0,16.0,204.0,122.0,1964.0,5.0,0.0,0.0,0.0,281.4,17.6
Brandon Marshall,CHI,2012.0,16.0,192.0,118.0,1508.0,11.0,1.0,-2.0,0.0,275.6,17.2
Dez Bryant,DAL,2012.0,16.0,138.0,92.0,1382.0,12.0,2.0,-5.0,0.0,251.7,15.7
A.J. Green,CIN,2012.0,16.0,164.0,97.0,1350.0,11.0,4.0,38.0,0.0,251.3,15.7
Demaryius Thomas,DEN,2012.0,16.0,141.0,94.0,1442.0,10.0,0.0,0.0,0.0,245.2,15.3
Andre Johnson,HOU,2012.0,16.0,162.0,112.0,1598.0,4.0,0.0,0.0,0.0,239.8,15.0
Wes Welker,NE,2012.0,16.0,175.0,118.0,1354.0,6.0,2.0,20.0,0.0,230.4,14.4
Eric Decker,DEN,2012.0,16.0,122.0,85.0,1064.0,13.0,0.0,0.0,0.0,226.9,14.2
Roddy White,ATL,2012.0,16.0,143.0,92.0,1351.0,7.0,0.0,0.0,0.0,223.1,13.9
Vincent Jackson,TB,2012.0,16.0,147.0,72.0,1384.0,8.0,0.0,0.0,0.0,222.4,13.9
Julio Jones,ATL,2012.0,16.0,128.0,79.0,1198.0,10.0,6.0,30.0,0.0,222.3,13.9
Reggie Wayne,IND,2012.0,16.0,195.0,106.0,1355.0,5.0,1.0,-5.0,0.0,216.0,13.5
Marques Colston,NO,2012.0,16.0,130.0,83.0,1154.0,10.0,0.0,0.0,0.0,212.9,13.3
Victor Cruz,NYG,2012.0,16.0,143.0,86.0,1092.0,10.0,0.0,0.0,0.0,212.2,13.3
Michael Crabtree,SF,2012.0,16.0,127.0,85.0,1105.0,9.0,0.0,0.0,0.0,207.0,12.9
Randall Cobb,GB,2012.0,15.0,104.0,80.0,954.0,8.0,10.0,132.0,0.0,194.6,13.0
James Jones,GB,2012.0,15.0,98.0,64.0,784.0,14.0,0.0,0.0,0.0,194.4,13.0
Mike Williams,TB,2012.0,16.0,126.0,63.0,996.0,9.0,0.0,0.0,0.0,185.1,11.6
Steve Smith,CAR,2012.0,16.0,138.0,73.0,1174.0,4.0,3.0,27.0,0.0,178.6,11.2
Steve Johnson,BUF,2012.0,16.0,148.0,79.0,1046.0,6.0,0.0,0.0,0.0,178.1,11.1
Lance Moore,NO,2012.0,15.0,104.0,65.0,1041.0,6.0,0.0,0.0,0.0,172.6,11.5
