Player,Projection,My Computed Score
Justin Jefferson,263.7,719.4308222222459
Tyreek Hill,258.1,697.2751125254701
Ja'Marr Chase,256.0,642.7372175068535
Davante Adams,240.0,613.6487778841523
CeeDee Lamb,225.4,585.9189027038689
Stefon Diggs,222.5,562.3018911858786
A.J. Brown,218.5,574.0778223793952
Amon-Ra St. Brown,203.1,519.1468919749648
Jaylen Waddle,200.2,539.392313737559
Cooper Kupp,200.2,516.0605341506392
Garrett Wilson,196.5,515.3801868802225
DK Metcalf,192.3,499.59391202150726
Amari Cooper,188.4,502.4935041304929
DeVonta Smith,186.8,497.96009292959155
Chris Olave,186.1,508.47664833601874
Keenan Allen,184.1,474.74330360705875
Tee Higgins,183.2,491.7730694657641
Christian Watson,177.3,462.19619054931076
Calvin Ridley,176.0,448.7691491764362
Mike Williams,172.6,449.5981431764297
Deebo Samuel,172.5,419.2642165461345
Diontae Johnson,168.9,442.337290058109
Christian Kirk,165.6,431.4878496981316
D.J. Moore,165.5,437.0562529658259
Chris Godwin,164.3,432.8251042571481
Marquise Brown,161.0,427.9292261546084
Drake London,159.5,435.71675397258394
DeAndre Hopkins,159.0,427.4095911474753
Terry McLaurin,158.5,430.6989093933085
Brandon Aiyuk,154.0,417.4869828636194
George Pickens,153.7,404.8569160262274
Mike Evans,150.5,403.9993538062598
Michael Pittman Jr.,150.1,392.9711057862491
Brandin Cooks,149.6,402.4156779217113
Tyler Lockett,149.0,391.74538646434956
Jahan Dotson,144.3,391.20192427656747
Courtland Sutton,143.4,373.44224692244705
Gabe Davis,142.5,368.7918469369485
JuJu Smith-Schuster,142.2,374.4329193669245
Jerry Jeudy,141.2,396.03177438464064
Treylon Burks,140.3,362.8313544005576
Kadarius Toney,139.8,348.98620202679086
Tyler Boyd,138.3,357.29101631602424
Jaxon Smith-Njigba,133.7,351.3796953798671
Michael Thomas,127.9,330.7029959660925
Adam Thielen,127.6,329.41185060480467
Zay Flowers,126.3,317.2416829354513
Michael Gallup,124.0,317.00663605802936
Odell Beckham Jr.,123.7,336.1769364041043
Jakobi Meyers,123.5,327.22817209512647
Curtis Samuel,122.6,293.71536091667286
Elijah Moore,120.0,314.0975563919249
Nico Collins,119.3,314.9503775725672
Jordan Addison,116.6,294.82211803871354
Darnell Mooney,114.6,307.09587855163403
Rashod Bateman,114.1,302.23425886936246
Hunter Renfrow,113.7,293.55870824198547
Skyy Moore,113.6,276.3375278253099
Alec Pierce,110.0,284.58860559842816
DeVante Parker,108.8,281.3567709984338
Quentin Johnston,108.2,282.639973966172
Van Jefferson,108.0,281.77921039198003
Romeo Doubs,108.0,270.18272932103815
Rondale Moore,107.5,271.8809362493476
K.J. Osborn,105.4,266.7237902371712
D.J. Chark,104.0,272.65193964292774
Marquez Valdes-Scantling,103.9,293.9017237000357
Allen Lazard,102.0,264.0443039010086
Jonathan Mingo,99.3,248.2014886049458
Zay Jones,98.1,255.4103521323712
Marvin Mims,95.7,246.23697218559028
Chase Claypool,95.5,253.8841598936613
Robert Woods,94.7,240.77737137110864
Jayden Reed,92.2,243.5470546098087
Donovan Peoples-Jones,89.7,238.5857504678807
Jameson Williams,88.7,221.90848762434433
Rashee Rice,86.6,210.93772325017227
Josh Reynolds,86.4,224.3831514937142
Tank Dell,84.7,222.86490164855394
Mecole Hardman,83.9,216.01234061033122
Isaiah Hodgins,83.5,214.1918398672465
Rashid Shaheed,82.1,215.75708721139569
Michael Wilson,80.9,210.37588742922156
Tutu Atwell,80.8,213.63227017495285
Mack Hollins,79.8,205.64168777116598
Darius Slayton,77.6,201.97152899052594
Josh Palmer,77.5,188.01191928733107
Allen Robinson,71.3,174.85747640348072
Kendrick Bourne,71.0,193.67076339539764
Parris Campbell,66.9,177.95785696962042
John Metchie,65.8,173.22365731156492
Deonte Harty,65.1,166.3454911115792
Quez Watkins,63.0,159.2402204277211
Marvin Jones,61.6,162.87860963416267
Jauan Jennings,60.0,157.9252478857844
Tyquan Thornton,58.7,170.50197016158475
Noah Brown,58.4,149.1063924470921
Josh Downs,57.6,153.3943255309524
Puka Nacua,57.5,152.96394374385645
Kyle Philips,57.0,141.14830058259173
Khalil Shakir,55.7,143.28432473097223
Trey Palmer,54.8,143.2763823374226
Jalin Hyatt,54.7,144.77874739548363
Wan'Dale Robinson,54.5,129.30568232703416
Braxton Berrios,54.2,132.96310423421892
Isaiah McKenzie,53.5,129.95043172454726
Randall Cobb,51.9,124.99706997616892
Cedrick Wilson,49.8,123.69003982778179
Greg Dortch,47.5,109.95395743595084
Nelson Agholor,47.1,117.86797211166191
Tyler Scott,46.2,113.99453602779832
Nick Westbrook-Ikhine,46.1,131.73583974875018
Jamal Agnew,44.5,104.94026245935095
Laviska Shenault,43.8,111.16696415650512
Samori Toure,39.6,109.55926412298402
Terrace Marshall Jr.,38.0,106.53864921976268
Ben Skowronek,37.3,99.66048301977698
Richie James,36.6,82.40033600635799
Kalif Raymond,36.5,98.15017556816632
Justin Watson,36.1,100.29414211009647
Charlie Jones,36.1,100.29414211009647
Tre'Quan Smith,35.7,98.57261496171265
Scotty Miller,33.3,86.31070522625271
Dyami Brown,32.5,84.80039777464205
Justyn Ross,32.1,70.78157107938634
Calvin Austin,30.7,82.8517661423858
Olamide Zaccheaus,30.5,80.05825572303692
Jalen Tolbert,27.5,71.01229580047217
Trenton Irwin,27.4,66.71642032306227
Dareke Young,25.4,63.9070251166141
David Bell,24.4,61.53595409081152
DeAndre Carter,24.3,59.17282545855857
Deven Thompkins,22.2,54.000301619857474
Trent Sherfield,16.2,52.14732043761886
Tim Jones,16.0,51.28655686342693
Ray-Ray McCloud,14.3,42.0373196376387
Equanimeous St. Brown,14.1,45.04204975376077
Marquise Goodwin,11.2,36.42647161829201
